hiding_date_vc,hiding_blz,hiding_rider,finder_date_vc,finder_blz,finder_rider,lat_degr,lon_degr,loc_desc,city,prov ,,,,,,,,,,
29-09-2010,3/27,Smuiger,29-09-2010,3/29,BigJim,53.128908,5.426264,"fam Heida - Dijksterburen, Zurich, Fr",Zurich,Fr,,,,,,,,,,
,,,,,bobcat,,,,,,,,,,,,,,,
29-09-2010,3/29,BigJim,30-09-2010,3/29,stampertje-35,52.478369,4.610996,"Noordersluisweg, Velsen-Zuid, NH",Velsen,NH,,,,,,,,,,
30-09-2010,3/30,stampertje_35,30-09-2010,3/31,ootje,52.434089,5.088685,"molens Zeedijk, Uitdam / Marken, NH",Uitdam,NH,,,,,,,,,,
30-09-2010,3/32,ootje,30-09-2010,3/33,Nohome,52.469397,5.509644,"Ootje Konkel - IJsselmeerdijk, Scharwoude, NH",Scharwoude,NH,,,,,,,,,,
30-09-2010,3/34,Nohome,01-10-2010,3/34,I-accelerate,52.955488,4.72646,"vuurtoren Lange Jaap - Zeeweg, Huisduinen, NH",Huisduinen,NH,,,,,,,,,,
01-10-2010,3/35,I-accelarate,01-10-2010,3/37,Bart#89!,53.222884,7.197139,"schotbalkenhuisje, Stadspolder, Gr",Stadspolder,Gr,,,,,,,,,,
02-10-2010,3/38,Bart#89!,02-10-2010,3/40,V-Strommert,53.433063,6.582782,"haventje, Noordpolderzijl, Gr",Noordpolderzijl,Gr,,,,,,,,,,
02-10-2010,3/40,V-Strommert,03-10-2010,3/42,niet opgehaald,53.398972,6.455959,"hoogholtje Martenspad, Pieterburen, Gr",Pieterburen,Gr,,,,,,,,,,
03-10-2010,3/42,V-Strommert,04-10-2010,3/43,Emgi,51.528424,3.433335,"Zeedijk, Westkapelle, Ze",Westkapelle,Ze,,,,,,,,,,
04-10-2010,3/44,Emgi,04-10-2010,3/44,Soesbabe,51.428688,4.232671,"brug Westelijke Rijnscheldeweg, Rilland, Ze",Rilland,Ze,,,,,,,,,,
04-10-2010,3/44,Soesbabe,04-10-2010,3/45,smoffler,51.493684,3.819576,"Panhoeveweg, Hr Arendskerke, Ze",Hr Arendskerke,Ze,,,,,,,,,,
05-10-2010,3/46,smoffler,05-10-2010,3/47,toroque,51.529745,4.462268,"Vrouwenhoflaan, Roosendaal, NB",Roosendaal,NB,,,,,,,,,,
06-10-2010,3/48,toroque,06-10-2010,3/49,Cynthia1987,51.632446,4.936903,"klooster Schoolstraat, Dongen, NB",Dongen,NB,,,,,,,,,,
06-10-2010,3/50,Cynthia1987,07-10-2010,3/52,Franko P,51.669961,5.37538,"sporthal Tennispad, Den Dungen, NB",Den Dungen,NB,,,,,,,,,,
07-10-2010,3/52,Franko P,07-10-2010,3/52,Xevoo,51.336658,5.181062,"vijver Burg. Willekeslaan, Reusel, NB",Reusel,NB,,,,,,,,,,
08-10-2010,3/53,Xevoo,08-10-2010,3/54,dopey'85,51.494931,5.411142,"Golflaan, Best, NB",Best,NB,,,,,,,,,,
08-10-2010,3/55,dopey'85,08-10-2010,3/57,Quark,51.409105,5.486349,"St. Joris internaat Eikenburglaan, Eindhoven, NB",Eindhoven,NB,,,,,,,,,,
,,,,,Oxi,,,,,,,,,,,,,,,
09-10-2010,3/58,Oxi,09-10-2010,3/60,BrouwerER6N,51.711661,5.32434,"verkeersautomaat Bruistensingel, Eindhoven, NB",Eindhoven,NB,,,,,,,,,,
10-10-2010,3/62,BrouwerER6N,12-10-2010,3/65,Smuiger,53.182083,4.855249,"vuurtoren, Texel, NH",Texel,NH,,,,,,,,,,
12-10-2010,3/65,Smuiger,13-10-2010,3/66,Hansss,52.484953,4.890783,"Rustpunt - Zuiderweg, Wijdewormer, NH",Wijdewormer,NH,,,,,,,,,,
13-10-2010,3/67,Hansss,15-10-2010,3/69,Motoroepoe,52.772942,5.112593,"parkeerplek - Kasteel Radbout, Medemblik, NH",Medemblik,NH,,,,,,,,,,
15-10-2010,3/69,Motoropoe,16-10-2010,3/71,bobcat,53.073596,5.337145,"parkeerplaats, Kornwerderzand, Fr",Kornwerderzand,Fr,,,,,,,,,,
16-10-2010,3/71,bobcat,16-10-2010,3/72,stampertje-35,52.447777,4.672912,"brug Valeiweg, Velsen Zuid, NH",Velsen,NH,,,,,,,,,,
16-10-2010,3/73,stampertje-35,17-10-2010,3/74,mastertommy,52.388029,4.543362,"circuit, Zandvoort, NH",Zandvoort,NH,,,,,,,,,,
17-10-2010,3/74,mastertommy,18-10-2010,3/77,BigJim,52.3173,4.909483,"Loevesteinserandweg, Schiphol, NH",Schiphol,NH,,,,,,,,,,
18-10-2010,3/78,BigJim,19-10-2010,3/81,ootje,52.517324,4.909483,"inundatiesluizen kanaaldijk, Beemster, NH",Beemster,NH,,,,,,,,,,
19-10-2010,3/81,ootje,19-10-2010,3/82,Wimis on,52.57871,4.68142,"spoorwegovergang Westerweg, Limmen, NH",Limmen,NH,,,,,,,,,,
20-10-2010,3/84,Wimis on,20-10-2010,3/85,rutgertjuh,51.96344,5.281076,"pontje Veerweg, Beusichem, Ut",Beusichem,Ut,,,,,,,,,,
21-10-2010,3/87,rutgertjuh,21-10-2010,3/87,Hasseman,52.368787,6.585145,"1e Lageveldweg, Wierden, Ov",Wierden,Ov,,,,,,,,,,
21-10-2010,3/88,Hasseman,21-10-2010,3/90,Starscream,52.240625,6.756656,"Olde Meulenweg, Hengelo, Ov",Hengelo,Ov,,,,,,,,,,
21-10-2010,3/90,Starscream,21-10-2010,3/91,Bensi,52.116718,6.662672,"watertoren, Eibergen, Ge",Eibergen,Ge,,,,,,,,,,
22-10-2010,3/92,Bensi,22-10-2010,3/94,MP_NL,51.903189,6.253055,"molenbelt, Zeddam, Ge",Zeddam,Ge,,,,,,,,,,
23-10-2010,3/96,MP_NL,23-10-2010,3/97,Wilddam,52.427914,6.553516,"Esweg, Daarle, Ov",Daarle,Ov,,,,,,,,,,
23-10-2010,3/98,Wilddam,23-10-2010,3/98,Michiel,52.284011,6.673213,"Krudersweg, Ambt Delden, Ov",Ambt Delden,Ov,,,,,,,,,,
24-10-2010,3/101,Michiel,24-10-2010,4/1,me-daph,52.263381,7.03022,"Ravenshorsterweg, Losser, Ov",Losser,Ov,,,,,,,,,,
24-10-2010,4/3,me-daph,24-10-2010,4/5,BigJim,52.16235,6.357586,"theekoepel Almen, Lochem, Ge",Lochem,Ge,,,,,,,,,,
25-10-2010,4/10,BigJim,25-10-2010,4/12,vuurbloed,52.455486,4.893465,"bruggetje Luyendijkje, de Ilp, NH",Den Ilp,NH,,,,,,,,,,
26-10-2010,4/13,vuurbloed,26-10-2010,4/14,Smuiger,52.337694,4.638502,"gemaal Cruquius - Ringdijk, Haarlemmermeer, NH",Haarlemmermeer,NH,,,,,,,,,,
26-10-2010,4/15,Smuiger,26-10-2010,4/16,Yamahahahaha,52.466027,4.808281,"molen het Pink, Koog a/d Zaan, NH",Koog aan de Zaan,NH,,,,,,,,,,
26-10-2010,4/16,Yamahahahaha,27-10-2010,4/19,Wimis on,52.68794,5.252677,"Broekerhaven, Bovenkarspel, NH",Bovenkarspel,NH,,,,,,,,,,
28-10-2010,4/20,Wimis on,28-10-2010,4/22,Quickly,52.043627,5.185622,"Nieuw Wulven - Binnenweg, Houten, Ut",Houten,Ut,,,,,,,,,,
29-10-2010,4/23,Quickly,29-10-2010,4/24,Hasseman,51.970499,4.979907,"Halifax monument - Lekdijk Oost, Jaarsveld, Ut",Jaarsveld,Ut,,,,,,,,,,
29-10-2010,4/26,Hasseman,30-10-2010,4/27,Kwaakmans,52.581931,6.184085,"Noordelijke Ruitenweg, Lichtmis, Ov",Lichtmis,Ov,,,,,,,,,,
30-10-2010,4/28,Kwaakmans,30-10-2010,4/31,zZlaapkopZz,52.613397,6.405475,"Kategerbos - den Kaat, Hardenberg, Ov",Hardenberg,Ov,,,,,,,,,,
30-10-2010,4/31,zZlaapkopZz,31-10-2010,4/35,BigJim,52.766157,6.913759,"circuitpark - Kapt. Antiferstraat, Emmen, Dr",Emmen,Dr,,,,,,,,,,
01-11-2010,4/38,BigJim,01-11-2010,4/40,Smuiger,52.470198,4.705646,"Zeedijk 7-8, Assendelft, NH",Assendelft,NH,,,,,,,,,,
02-11-2010,4/41,Smuiger,02-11-2010,4/42,V-Strommert,52.474521,4.841065,"Westerringdijk, Wijdewormer, NH",Wijdewormer,NH,,,,,,,,,,
